driverID,first_name,last_name,email,contactnumber,address,license_number,license_expiry_date,employment_status,department,createddate
1000,James,Johnson,james.johnson1000@fleetdemo.com,0421701997,197 High St,LIC1000372,2026-02-11,Active,Operations,2026-05-28 05:41:41
1001,Ethan,Walker,ethan.walker1001@fleetdemo.com,0454586820,88 George St,LIC1001263,2026-02-22,Active,Service,2026-09-30 12:13:22
1002,Emma,Wilson,emma.wilson1002@fleetdemo.com,0410224217,232 High St,LIC1002892,2026-02-04,On Leave,Corporate,2026-01-28 03:18:01
1003,James,White,james.white1003@fleetdemo.com,0470172721,27 George St,LIC1003194,2026-09-17,Active,Operations,2026-04-24 07:47:14
1004,Isla,Lee,isla.lee1004@fleetdemo.com,0486961530,123 Queen St,LIC1004580,2026-11-22,Active,Service,2026-05-14 09:17:57
1005,Ethan,Martin,ethan.martin1005@fleetdemo.com,0437764610,211 Park St,LIC1005754,2026-07-24,Active,Service,2026-01-05 20:57:24
1006,Lucas,Young,lucas.young1006@fleetdemo.com,0478820426,112 Park St,LIC1006753,2026-11-06,Active,Corporate,2026-07-22 04:25:39
1007,Jack,Lee,jack.lee1007@fleetdemo.com,0460267442,131 George St,LIC1007967,2026-10-20,Active,Operations,2026-12-21 19:47:49
1008,Mia,Young,mia.young1008@fleetdemo.com,0445149912,44 Queen St,LIC1008445,2026-08-04,Active,Operations,2026-10-08 19:54:16
1009,Mia,Lee,mia.lee1009@fleetdemo.com,0486929375,200 Queen St,LIC1009116,2026-03-15,Active,Service,2026-01-05 23:34:33
1010,Isla,White,isla.white1010@fleetdemo.com,0440753276,104 Park St,LIC1010613,2026-10-09,Active,Operations,2026-09-06 02:03:19
1011,Liam,Martin,liam.martin1011@fleetdemo.com,0494555921,185 King St,LIC1011657,2026-07-07,Terminated,Sales,2026-07-28 07:25:26
1012,Mia,Lee,mia.lee1012@fleetdemo.com,0471914109,12 George St,LIC1012237,2026-06-27,Active,Service,2026-11-07 06:11:02
1013,Sophia,Young,sophia.young1013@fleetdemo.com,0446497806,245 High St,LIC1013749,2026-06-13,Active,Operations,2026-07-18 04:31:47
1014,Sophia,King,sophia.king1014@fleetdemo.com,0421917045,22 High St,LIC1014108,2026-11-06,Active,Operations,2026-08-01 06:31:18
1015,Chloe,Young,chloe.young1015@fleetdemo.com,0464251781,8 Queen St,LIC1015368,2026-07-03,Active,Service,2026-06-10 19:25:36
1016,Sophia,Smith,sophia.smith1016@fleetdemo.com,0495782299,163 King St,LIC1016529,2026-01-25,Active,Sales,2026-05-25 12:18:46
1017,Jack,Taylor,jack.taylor1017@fleetdemo.com,0420519512,212 George St,LIC1017876,2026-07-21,Active,Service,2026-02-26 18:06:58
1018,Isla,Young,isla.young1018@fleetdemo.com,0449083514,199 High St,LIC1018477,2026-02-19,Active,Service,2026-07-20 19:45:13
